"Number","Address","Data","Content","Time","AUX",
"100.0","00.DEBA","DE50","(void)_asm ("orcc #0x50\n");","37.443971066 s ","0000",
"","","","systemFault","","",
"","","","DE50 LDX      TC0 (50)","","",
"","","","OP-CODE Fetch","","",
"102.0","00.D126","D744","ldab    #0x44       ; Select 2**20 divisor and suspend on BDM","37.648656533 s ","0000",
"","","","D7 TSTB     ","","",
"","","","OP-CODE Fetch","","",
"103.0","00.003C","443C","COPCTL","37.648658566 s ","0000",
"","","","Memory Write","","",
"105.0","00.14D4","3FEC","debugIOFaultArg","37.667883483 s ","0000",
"","","","debugIOFaultCode","","",
"","","","Memory Write","","",
"106.0","00.14D6","42E7","debugIOFaultDriver","37.667883850 s ","0000",
"","","","CfgRxBuf","","",
"","","","Memory Write","","",
"107.0","00.14D4","01D4","debugIOFaultArg","37.675820250 s ","0000",
"","","","Memory Write","","",
"108.0","00.14D4","02D4","debugIOFaultArg","37.675820366 s ","0000",
"","","","Memory Write","","",
"109.0","00.14D4","04D4","debugIOFaultArg","37.675820533 s ","0000",
"","","","Memory Write","","",
"110.0","00.14D4","08D4","debugIOFaultArg","37.675820700 s ","0000",
"","","","Memory Write","","",
"111.0","00.14D4","10D4","debugIOFaultArg","37.675820850 s ","0000",
"","","","Memory Write","","",
"112.0","00.14D4","20D4","debugIOFaultArg","37.675821016 s ","0000",
"","","","Memory Write","","",
"113.0","00.14D4","40D4","debugIOFaultArg","37.675821183 s ","0000",
"","","","Memory Write","","",
"114.0","00.14D4","80D4","debugIOFaultArg","37.675821333 s ","0000",
"","","","Memory Write","","",
"115.0","00.14D4","00D4","debugIOFaultArg","37.675821500 s ","0000",
"","","","Memory Write","","",
"116.0","00.14D4","1401","debugIOFaultCode","37.675821983 s ","0000",
"","","","Memory Write","","",
"117.0","00.14D4","1402","debugIOFaultCode","37.675822116 s ","0000",
"","","","Memory Write","","",
"118.0","00.14D4","1404","debugIOFaultCode","37.675822283 s ","0000",
"","","","Memory Write","","",
"119.0","00.14D4","1408","debugIOFaultCode","37.675822433 s ","0000",
"","","","Memory Write","","",
"120.0","00.14D4","1410","debugIOFaultCode","37.675822600 s ","0000",
"","","","Memory Write","","",
"121.0","00.14D4","1420","debugIOFaultCode","37.675822766 s ","0000",
"","","","Memory Write","","",
"122.0","00.14D4","1440","debugIOFaultCode","37.675822933 s ","0000",
"","","","Memory Write","","",
"123.0","00.14D4","1480","debugIOFaultCode","37.675823083 s ","0000",
"","","","Memory Write","","",
"124.0","00.14D4","1400","debugIOFaultCode","37.675823250 s ","0000",
"","","","Memory Write","","",
"125.0","00.14D6","01D6","debugIOFaultDriver","37.675823733 s ","0000",
"","","","Memory Write","","",
"126.0","00.14D6","02D6","debugIOFaultDriver","37.675823866 s ","0000",
"","","","Memory Write","","",
"127.0","00.14D6","04D6","debugIOFaultDriver","37.675824016 s ","0000",
"","","","Memory Write","","",
"128.0","00.14D6","08D6","debugIOFaultDriver","37.675824183 s ","0000",
"","","","Memory Write","","",
"129.0","00.14D6","10D6","debugIOFaultDriver","37.675824350 s ","0000",
"","","","Memory Write","","",
"130.0","00.14D6","20D6","debugIOFaultDriver","37.675824516 s ","0000",
"","","","Memory Write","","",
"131.0","00.14D6","40D6","debugIOFaultDriver","37.675824683 s ","0000",
"","","","Memory Write","","",
"132.0","00.14D6","80D6","debugIOFaultDriver","37.675824833 s ","0000",
"","","","Memory Write","","",
"133.0","00.14D6","00D6","debugIOFaultDriver","37.675825000 s ","0000",
"","","","Memory Write","","",
"135.0","00.14D4","00D4","debugIOFaultArg","37.695470800 s ","0000",
"","","","Memory Write","","",
"136.0","00.14D4","1400","debugIOFaultCode","37.695471083 s ","0000",
"","","","Memory Write","","",
"137.0","00.14D6","00D6","debugIOFaultDriver","37.695471366 s ","0000",
"","","","Memory Write","","",
"139.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","45.898125200 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"140.0","00.14D6","02D6","debugIOFaultDriver","45.898126383 s ","0000",
"","","","Memory Write","","",
"141.0","00.14D4","1405","debugIOFaultCode","45.898126583 s ","0000",
"","","","Memory Write","","",
