"Number","Address","Data","Content","Time","AUX",
"","","","OP-CODE Fetch","","",
"181.0","00.EDB8","FF12"," INVALID_OPCODE","10.045233 ms
10.045233 ms","0000",
"","","","OP-CODE Fetch","","",
"183.0","00.EDB8","FF12"," INVALID_OPCODE","9.981950 ms
9.981950 ms","0000",
"","","","OP-CODE Fetch","","",
"185.0","00.EDB8","FF12"," INVALID_OPCODE","9.977934 ms
9.977934 ms","0000",
"","","","OP-CODE Fetch","","",
"187.0","00.EDB8","FF12"," INVALID_OPCODE","10.002716 ms
10.002716 ms","0000",
"","","","OP-CODE Fetch","","",
"189.0","00.EDB8","FF12"," INVALID_OPCODE","10.024884 ms
10.024884 ms","0000",
"","","","OP-CODE Fetch","","",
"191.0","00.EDB8","FF12"," INVALID_OPCODE","9.985083 ms
9.985083 ms","0000",
"","","","OP-CODE Fetch","","",
"193.0","00.EDB8","FF12"," INVALID_OPCODE","9.984567 ms
9.984567 ms","0000",
"","","","OP-CODE Fetch","","",
"195.0","00.EDB8","FF12"," INVALID_OPCODE","10.057516 ms
10.057516 ms","0000",
"","","","OP-CODE Fetch","","",
"197.0","00.EDB8","FF12"," INVALID_OPCODE","9.970067 ms
9.970067 ms","0000",
"","","","OP-CODE Fetch","","",
"199.0","00.EDB8","FF12"," INVALID_OPCODE","10.003533 ms
10.003533 ms","0000",
"","","","OP-CODE Fetch","","",
"201.0","00.EDB8","FF12"," INVALID_OPCODE","9.969300 ms
9.969300 ms","0000",
"","","","OP-CODE Fetch","","",
"203.0","00.EDB8","FF12"," INVALID_OPCODE","10.028017 ms
10.028017 ms","0000",
"","","","OP-CODE Fetch","","",
"205.0","00.EDB8","FF12"," INVALID_OPCODE","9.970000 ms
9.970000 ms","0000",
"","","","OP-CODE Fetch","","",
"207.0","00.EDB8","FF12"," INVALID_OPCODE","10.032450 ms
10.032450 ms","0000",
"","","","OP-CODE Fetch","","",
"209.0","00.EDB8","FF12"," INVALID_OPCODE","9.983950 ms
9.983950 ms","0000",
"","","","OP-CODE Fetch","","",
"211.0","00.EDB8","FF12"," INVALID_OPCODE","9.993833 ms
9.993833 ms","0000",
"","","","OP-CODE Fetch","","",
"213.0","00.EDB8","FF12"," INVALID_OPCODE","10.060817 ms
10.060817 ms","0000",
"","","","OP-CODE Fetch","","",
"215.0","00.EDB8","FF12"," INVALID_OPCODE","9.935083 ms
9.935083 ms","0000",
"","","","OP-CODE Fetch","","",
"217.0","00.EDB8","FF12"," INVALID_OPCODE","10.017150 ms
10.017150 ms","0000",
"","","","OP-CODE Fetch","","",
"219.0","00.EDB8","FF12"," INVALID_OPCODE","10.013617 ms
10.013617 ms","0000",
"","","","OP-CODE Fetch","","",
"221.0","00.EDB8","FF12"," INVALID_OPCODE","9.966083 ms
9.966083 ms","0000",
"","","","OP-CODE Fetch","","",
"223.0","00.EDB8","FF12"," INVALID_OPCODE","10.060717 ms
10.060717 ms","0000",
"","","","OP-CODE Fetch","","",
"225.0","00.EDB8","FF12"," INVALID_OPCODE","9.964933 ms
9.964933 ms","0000",
"","","","OP-CODE Fetch","","",
"227.0","00.EDB8","FF12"," INVALID_OPCODE","10.002500 ms
10.002500 ms","0000",
"","","","OP-CODE Fetch","","",
"229.0","00.EDB8","FF12"," INVALID_OPCODE","10.024884 ms
10.024884 ms","0000",
"","","","OP-CODE Fetch","","",
"231.0","00.EDB8","FF12"," INVALID_OPCODE","9.946966 ms
9.946966 ms","0000",
"","","","OP-CODE Fetch","","",
"233.0","00.EDB8","FF12"," INVALID_OPCODE","10.044550 ms
10.044550 ms","0000",
"","","","OP-CODE Fetch","","",
"235.0","00.EDB8","FF12"," INVALID_OPCODE","10.013734 ms
10.013734 ms","0000",
"","","","OP-CODE Fetch","","",
"237.0","00.EDB8","FF12"," INVALID_OPCODE","9.959116 ms
9.959116 ms","0000",
"","","","OP-CODE Fetch","","",
"239.0","00.EDB8","FF12"," INVALID_OPCODE","10.091334 ms
10.091334 ms","0000",
"","","","OP-CODE Fetch","","",
"241.0","00.EDB8","FF12"," INVALID_OPCODE","9.962633 ms
9.962633 ms","0000",
"","","","OP-CODE Fetch","","",
"243.0","00.EDB8","FF12"," INVALID_OPCODE","9.950700 ms
9.950700 ms","0000",
"","","","OP-CODE Fetch","","",
"245.0","00.EDB8","FF12"," INVALID_OPCODE","10.006783 ms
10.006783 ms","0000",
"","","","OP-CODE Fetch","","",
"247.0","00.EDB8","FF12"," INVALID_OPCODE","9.972384 ms
9.972384 ms","0000",
"","","","OP-CODE Fetch","","",
"249.0","00.EDB8","FF12"," INVALID_OPCODE","10.022866 ms
10.022866 ms","0000",
"","","","OP-CODE Fetch","","",
"251.0","00.EDB8","FF12"," INVALID_OPCODE","10.077250 ms
10.077250 ms","0000",
"","","","OP-CODE Fetch","","",
"253.0","00.EDB8","FF12"," INVALID_OPCODE","9.901384 ms
9.901384 ms","0000",
"","","","OP-CODE Fetch","","",
"255.0","00.EDB8","FF12"," INVALID_OPCODE","10.020050 ms
10.020050 ms","0000",
"","","","OP-CODE Fetch","","",
"257.0","00.EDB8","FF12"," INVALID_OPCODE","9.984966 ms
9.984966 ms","0000",
"","","","OP-CODE Fetch","","",
"259.0","00.EDB8","FF12"," INVALID_OPCODE","10.048084 ms
10.048084 ms","0000",
"","","","OP-CODE Fetch","","",
"261.0","00.EDB8","FF12"," INVALID_OPCODE","9.962616 ms
9.962616 ms","0000",
"","","","OP-CODE Fetch","","",
"263.0","00.EDB8","FF12"," INVALID_OPCODE","10.003334 ms
10.003334 ms","0000",
"","","","OP-CODE Fetch","","",
"265.0","00.EDB8","FF12"," INVALID_OPCODE","10.001650 ms
10.001650 ms","0000",
"","","","OP-CODE Fetch","","",
"267.0","00.EDB8","FF12"," INVALID_OPCODE","10.041816 ms
10.041816 ms","0000",
"","","","OP-CODE Fetch","","",
"269.0","00.EDB8","FF12"," INVALID_OPCODE","9.950084 ms
9.950084 ms","0000",
"","","","OP-CODE Fetch","","",
"271.0","00.EDB8","FF12"," INVALID_OPCODE","10.017200 ms
10.017200 ms","0000",
"","","","OP-CODE Fetch","","",
"273.0","00.EDB8","FF12"," INVALID_OPCODE","10.031650 ms
10.031650 ms","0000",
"","","","OP-CODE Fetch","","",
"275.0","00.EDB8","FF12"," INVALID_OPCODE","9.943250 ms
9.943250 ms","0000",
"","","","OP-CODE Fetch","","",
"277.0","00.EDB8","FF12"," INVALID_OPCODE","10.089616 ms
10.089616 ms","0000",
"","","","OP-CODE Fetch","","",
"279.0","00.EDB8","FF12"," INVALID_OPCODE","9.918000 ms
9.918000 ms","0000",
"","","","OP-CODE Fetch","","",
"281.0","00.EDB8","FF12"," INVALID_OPCODE","10.002750 ms
10.002750 ms","0000",
"","","","OP-CODE Fetch","","",
"283.0","00.EDB8","FF12"," INVALID_OPCODE","10.077534 ms
10.077534 ms","0000",
"","","","OP-CODE Fetch","","",
"285.0","00.EDB8","FF12"," INVALID_OPCODE","9.974716 ms
9.974716 ms","0000",
"","","","OP-CODE Fetch","","",
"287.0","00.EDB8","FF12"," INVALID_OPCODE","9.965800 ms
9.965800 ms","0000",
"","","","OP-CODE Fetch","","",
"289.0","00.EDB8","FF12"," INVALID_OPCODE","9.983834 ms
9.983834 ms","0000",
"","","","OP-CODE Fetch","","",
"291.0","00.EDB8","FF12"," INVALID_OPCODE","10.003600 ms
10.003600 ms","0000",
"","","","OP-CODE Fetch","","",
"293.0","00.EDB8","FF12"," INVALID_OPCODE","9.996650 ms
9.996650 ms","0000",
"","","","OP-CODE Fetch","","",
"295.0","00.EDB8","FF12"," INVALID_OPCODE","10.087500 ms
10.087500 ms","0000",
"","","","OP-CODE Fetch","","",
"297.0","00.EDB8","FF12"," INVALID_OPCODE","9.941550 ms
9.941550 ms","0000",
"","","","OP-CODE Fetch","","",
"299.0","00.EDB8","FF12"," INVALID_OPCODE","9.967150 ms
9.967150 ms","0000",
"","","","OP-CODE Fetch","","",
"301.0","00.EDB8","FF12"," INVALID_OPCODE","10.044783 ms
10.044783 ms","0000",
"","","","OP-CODE Fetch","","",
"303.0","00.EDB8","FF12"," INVALID_OPCODE","9.993683 ms
9.993683 ms","0000",
"","","","OP-CODE Fetch","","",
"305.0","00.EDB8","FF12"," INVALID_OPCODE","9.968234 ms
9.968234 ms","0000",
"","","","OP-CODE Fetch","","",
"307.0","00.EDB8","FF12"," INVALID_OPCODE","10.002716 ms
10.002716 ms","0000",
"","","","OP-CODE Fetch","","",
"309.0","00.EDB8","FF12"," INVALID_OPCODE","10.004650 ms
10.004650 ms","0000",
"","","","OP-CODE Fetch","","",
"311.0","00.EDB8","FF12"," INVALID_OPCODE","10.020050 ms
10.020050 ms","0000",
"","","","OP-CODE Fetch","","",
"313.0","00.EDB8","FF12"," INVALID_OPCODE","9.981634 ms
9.981634 ms","0000",
"","","","OP-CODE Fetch","","",
"315.0","00.EDB8","FF12"," INVALID_OPCODE","10.007633 ms
10.007633 ms","0000",
"","","","OP-CODE Fetch","","",
"317.0","00.EDB8","FF12"," INVALID_OPCODE","9.977183 ms
9.977183 ms","0000",
"","","","OP-CODE Fetch","","",
"319.0","00.EDB8","FF12"," INVALID_OPCODE","10.004217 ms
10.004217 ms","0000",
"","","","OP-CODE Fetch","","",
"321.0","00.EDB8","FF12"," INVALID_OPCODE","9.993650 ms
9.993650 ms","0000",
"","","","OP-CODE Fetch","","",
"323.0","00.EDB8","FF12"," INVALID_OPCODE","10.098567 ms
10.098567 ms","0000",
"","","","OP-CODE Fetch","","",
"325.0","00.EDB8","FF12"," INVALID_OPCODE","9.974433 ms
9.974433 ms","0000",
"","","","OP-CODE Fetch","","",
"327.0","00.EDB8","FF12"," INVALID_OPCODE","9.965433 ms
9.965433 ms","0000",
"","","","OP-CODE Fetch","","",
"329.0","00.EDB8","FF12"," INVALID_OPCODE","9.982534 ms
9.982534 ms","0000",
"","","","OP-CODE Fetch","","",
"331.0","00.EDB8","FF12"," INVALID_OPCODE","9.998966 ms
9.998966 ms","0000",
"","","","OP-CODE Fetch","","",
"333.0","00.EDB8","FF12"," INVALID_OPCODE","10.050684 ms
10.050684 ms","0000",
"","","","OP-CODE Fetch","","",
"335.0","00.EDB8","FF12"," INVALID_OPCODE","9.935066 ms
9.935066 ms","0000",
"","","","OP-CODE Fetch","","",
"337.0","00.EDB8","FF12"," INVALID_OPCODE","10.017600 ms
10.017600 ms","0000",
"","","","OP-CODE Fetch","","",
"339.0","00.EDB8","FF12"," INVALID_OPCODE","10.010167 ms
10.010167 ms","0000",
"","","","OP-CODE Fetch","","",
"341.0","00.EDB8","FF12"," INVALID_OPCODE","10.073750 ms
10.073750 ms","0000",
"","","","OP-CODE Fetch","","",
"343.0","00.EDB8","FF12"," INVALID_OPCODE","9.952950 ms
9.952950 ms","0000",
"","","","OP-CODE Fetch","","",
"345.0","00.EDB8","FF12"," INVALID_OPCODE","9.974617 ms
9.974617 ms","0000",
"","","","OP-CODE Fetch","","",
"347.0","00.EDB8","FF12"," INVALID_OPCODE","9.993033 ms
9.993033 ms","0000",
"","","","OP-CODE Fetch","","",
"349.0","00.EDB8","FF12"," INVALID_OPCODE","10.024633 ms
10.024633 ms","0000",
"","","","OP-CODE Fetch","","",
"351.0","00.EDB8","FF12"," INVALID_OPCODE","9.984200 ms
9.984200 ms","0000",
"","","","OP-CODE Fetch","","",
"353.0","00.EDB8","FF12"," INVALID_OPCODE","10.009600 ms
10.009600 ms","0000",
"","","","OP-CODE Fetch","","",
"355.0","00.EDB8","FF12"," INVALID_OPCODE","10.021500 ms
10.021500 ms","0000",
"","","","OP-CODE Fetch","","",
"357.0","00.EDB8","FF12"," INVALID_OPCODE","9.941250 ms
9.941250 ms","0000",
"","","","OP-CODE Fetch","","",
